Secao,Produto,Preco,Descricao,Status
Descontinhos pra você ;),"Cumbuca Mini Frango","R$ 19,90","Cumbuca de frango com arroz e feijão.",ON
Descontinhos pra você ;),"Cumbuca Mini Carne","R$ 21,90","Cumbuca de carne com arroz e feijão.",ON
Descontinhos pra você ;),"Cumbuca Mini Veggie","R$ 18,90","Cumbuca vegetariana com legumes.",OFF
Destaques,"Cumbuca Clássica Frango","R$ 29,90","Prato mais vendido da casa.",ON
Destaques,"Cumbuca Clássica Carne","R$ 31,90","Carne desfiada com molho especial.",ON
Destaques,"Cumbuca Clássica Veggie","R$ 27,90","Versão vegetariana da clássica.",OFF
"Mimo por R$2,99","Mini Brownie","R$ 2,99","Brownie de chocolate pequeno.",ON
"Mimo por R$2,99","Mini Cookie","R$ 2,99","Cookie artesanal.",ON
"Mimo por R$2,99","Mini Pudim","R$ 2,99","Pudim individual.",OFF
"Novos Wraps - Novo tamanho e formato","Wrap Frango Grelhado","R$ 24,90","Wrap de frango com salada.",ON
"Novos Wraps - Novo tamanho e formato","Wrap Carne Desfiada","R$ 26,90","Wrap de carne com queijo.",OFF
"Novos Wraps - Novo tamanho e formato","Wrap Veggie","R$ 23,90","Wrap de legumes grelhados.",ON
"Oferta do mês","Cumbuca Promo Família","R$ 89,90","Serve até 4 pessoas.",ON
"Oferta do mês","Cumbuca Duo","R$ 54,90","Combo para duas pessoas.",ON
"Para começar (Entradas)","Batata Rústica","R$ 18,90","Batata assada com alecrim.",ON
"Para começar (Entradas)","Dadinho de Tapioca","R$ 22,90","Com geleia de pimenta.",OFF
"Para começar (Entradas)","Coxinha de Frango","R$ 19,90","6 unidades.",ON
Promoções,"Cumbuca do Dia","R$ 24,90","Prato do dia com preço especial.",ON
Promoções,"Cumbuca Surpresa","R$ 22,90","Chef escolhe o sabor.",OFF
"Wrap Combos","Combo Wrap + Refri Lata","R$ 29,90","Qualquer wrap + refrigerante.",ON
"Wrap Combos","Combo Wrap + Suco","R$ 32,90","Qualquer wrap + suco natural.",ON
"[Novidade] Personalize sua Cumbuca!","Monte sua Cumbuca","R$ 32,90","Escolha proteínas e acompanhamentos.",ON
"[Novidade] Personalize sua Cumbuca!","Cumbuca Low Carb","R$ 34,90","Base de legumes, sem arroz.",OFF
Açaís,"Açaí 300ml","R$ 17,90","Com granola e banana.",ON
Açaís,"Açaí 500ml","R$ 21,90","Porção grande com acompanhamentos.",ON
Açaís,"Açaí Proteico","R$ 24,90","Com whey de baunilha.",OFF
Bebidas,"Refrigerante Lata 350ml","R$ 6,00","Sabores variados.",ON
Bebidas,"Água Mineral sem Gás","R$ 4,00","Garrafa 500ml.",ON
Bebidas,"Suco de Laranja Natural","R$ 9,90","Feito na hora.",OFF
"Não julgue minha cumbuca ;)","Cumbuca Super Proteína","R$ 39,90","3 tipos de proteína.",ON
"Não julgue minha cumbuca ;)","Cumbuca Tudo Junto","R$ 42,90","Mistura de todos os acompanhamentos.",OFF
"Força, foco e fé","Cumbuca Fit Frango","R$ 32,90","Arroz integral e legumes.",ON
"Força, foco e fé","Cumbuca Fit Carne","R$ 34,90","Carne magra com salada.",ON
Sobremesas,"Pudim de Leite","R$ 11,90","Clássico pudim brasileiro.",ON
Sobremesas,"Brownie com Sorvete","R$ 14,90","Brownie quente com sorvete.",ON
Sobremesas,"Mousse de Maracujá","R$ 10,90","Mousse caseiro.",OFF
Suchás,"Suchá Hibisco com Limão","R$ 12,90","Bebida leve e refrescante.",ON
Suchás,"Suchá Maçã com Canela","R$ 12,90","Perfeito para dias frios.",OFF
"Tô diferente","Cumbuca Vegana","R$ 29,90","Proteína de soja, legumes e arroz.",ON
"Tô diferente","Cumbuca sem Glúten","R$ 31,90","Sem glúten e sem lactose.",ON
"Tô veggie","Cumbuca Veggie Clássica","R$ 27,90","Legumes, grão-de-bico e arroz.",ON
"Tô veggie","Cumbuca Veggie Gratinada","R$ 29,90","Com queijo gratinado por cima.",OFF
